YEAR,LATITUDE,LONGITUDE,COUNTRY
2016,-6.0005,-36.4498,Brazil
2016,-6.0535,-36.4556,Brazil
2016,-6.0428,-36.464,Brazil
2016,-7.3047,-40.5301,Brazil
2017,-7.3034,-40.5363,Brazil
2017,-7.307,-40.555,Brazil
2017,-7.2986,-40.5557,Brazil
2017,-7.3301,-40.5901,Brazil
2017,-7.3292,-40.5812,Brazil
2017,-7.3546,-40.6026,Brazil
2016,-5.3536,-35.9344,Brazil
2016,-5.3356,-35.9669,Brazil
2016,-5.3242,-35.9436,Brazil
2016,-5.2798,-35.8006,Brazil
2016,-5.2937,-35.7893,Brazil
2016,-5.2071,-35.8232,Brazil
2016,-5.2338,-35.7903,Brazil
2016,-5.2263,-35.7852,Brazil
2016,-5.2779,-35.7809,Brazil
2014,-5.3201,-35.9322,Brazil
2021,-10.5067,-41.4868,Brazil
2021,-10.4027,-41.4464,Brazil
2021,-10.4054,-41.4486,Brazil
2021,-10.4025,-41.4935,Brazil
2021,-10.4468,-41.5008,Brazil
2021,-10.463,-41.5141,Brazil
2021,-10.4409,-41.5723,Brazil
2021,-10.4805,-41.5769,Brazil
2021,-10.5094,-41.6117,Brazil
2021,-10.5366,-41.3932,Brazil
2021,-10.4626,-41.394,Brazil
2018,-10.4654,-41.4935,Brazil
2018,-10.4891,-41.4345,Brazil
2018,-10.4408,-41.4676,Brazil
2018,-10.4184,-41.4799,Brazil
2018,-10.511,-41.4545,Brazil
2018,-10.4496,-41.4481,Brazil
2018,-10.5029,-41.5401,Brazil
2018,-10.4898,-41.5115,Brazil
2018,-10.423,-41.4285,Brazil
2018,-10.4211,-41.3957,Brazil
2018,-10.5229,-41.4936,Brazil
2017,-9.2706,-41.0501,Brazil
2018,-9.3148,-41.1175,Brazil
2020,-9.2602,-41.0168,Brazil
-1,-9.2602,-41.0168,Brazil
-1,-32.2001,-52.1436,Brazil
2025,-5.3433,-36.1942,Brazil
2025,-5.3785,-36.2072,Brazil
2018,-2.843,-40.0631,Brazil
2012,-30.8407,-55.7251,Brazil
2011,-30.8485,-55.6856,Brazil
2011,-30.8018,-55.7142,Brazil
2014,-30.8348,-55.7568,Brazil
2014,-30.7974,-55.7562,Brazil
2014,-30.783,-55.6905,Brazil
2015,-30.9163,-55.7084,Brazil
2015,-30.8879,-55.7353,Brazil
2015,-30.7709,-55.6629,Brazil
2021,-6.9729,-36.8793,Brazil
2021,-6.9968,-36.894,Brazil
2021,-7.0016,-36.8983,Brazil
2021,-7.0337,-36.9355,Brazil
2021,-7.0039,-36.9131,Brazil
2021,-6.9786,-36.8539,Brazil
2021,-6.924,-36.8607,Brazil
2021,-6.8825,-36.7914,Brazil
2021,-6.8722,-36.7594,Brazil
2021,-6.8436,-36.7355,Brazil
2021,-6.8712,-36.8262,Brazil
2021,-6.8824,-36.8415,Brazil
2021,-7.0482,-36.9524,Brazil
2021,-7.0292,-36.9624,Brazil
2021,-7.0508,-36.9679,Brazil
2016,-7.4237,-40.6715,Brazil
2016,-7.4377,-40.7465,Brazil
2016,-7.4513,-40.6864,Brazil
2016,-7.3709,-40.6742,Brazil
2016,-7.413,-40.6686,Brazil
2016,-7.3858,-40.6978,Brazil
2016,-7.3724,-40.7072,Brazil
2016,-7.4093,-40.6951,Brazil
2015,-7.4387,-40.7083,Brazil
2015,-7.483,-40.7998,Brazil
2015,-7.486,-40.754,Brazil
2015,-7.4104,-40.7109,Brazil
2015,-7.4778,-40.7674,Brazil
2015,-7.4588,-40.7237,Brazil
2015,-7.4517,-40.7441,Brazil
2015,-33.6565,-53.3936,Brazil
2015,-33.6594,-53.4003,Brazil
2015,-33.6647,-53.4164,Brazil
2015,-33.6681,-53.4218,Brazil
2015,-33.7228,-53.399,Brazil
2015,-33.7174,-53.4167,Brazil
2014,-2.8856,-39.9721,Brazil
2024,-5.7077,-36.6313,Brazil
2024,-5.7077,-36.6313,Brazil
2024,-5.7077,-36.6313,Brazil
2024,-5.7077,-36.6313,Brazil
2015,-32.3862,-52.327,Brazil
