Capacity (MW),Status,Start Year,Latitude,Longitude
27.0,Operating,2018.0,-10.9397,-41.2289
27.0,Operating,2018.0,-10.913,-41.2214
27.0,Operating,2018.0,-10.9761,-41.2199
27.0,Operating,2018.0,-11.0064,-41.2271
27.0,Operating,2018.0,-10.9582,-41.2334
30.0,Operating,2016.0,-5.3698,-36.0317
30.0,Operating,2016.0,-5.3022,-36.0381
30.0,Operating,2016.0,-5.3449,-36.0401
30.0,Operating,2016.0,-5.322,-36.0606
49.0,Operating,2022.0,-9.8961,-40.4144
31.0,Operating,2022.0,-9.7892,-41.0129
42.0,Operating,2022.0,-9.8837,-40.4164
34.0,Operating,2012.0,-10.811,-36.9292
26.0,Operating,2008.0,-4.1936,-38.0766
23.0,Operating,2019.0,-5.1274,-35.9326
23.0,Operating,2019.0,-5.1466,-35.9362
23.0,Operating,2019.0,-5.0743,-36.0307
21.0,Operating,2019.0,-5.154,-35.9853
21.0,Operating,2019.0,-5.1566,-35.9982
21.0,Operating,2019.0,-5.156,-35.9994
3000.0,Accounced,-1.0,-4.476,-36.4912
30.0,Operating,2011.0,-28.4414,-49.5706
30.0,Operating,2011.0,-28.471,-49.605
30.0,Operating,2011.0,-28.4466,-49.6076
23.0,Operating,2018.0,-3.8884,-41.0401
15.0,Operating,2018.0,-3.8672,-41.0202
10.0,Operating,2018.0,-3.9321,-41.0267
21.0,Operating,2018.0,-3.9239,-41.0282
17.0,Operating,2018.0,-3.8662,-41.0382
23.0,Operating,2016.0,-3.9466,-41.123
50.0,Operating,2010.0,-4.4469,-37.7595
57.0,Operating,2010.0,-4.467,-37.758
32.0,Operating,2010.0,-4.5097,-37.7608
16.0,Operating,2008.0,-3.5103,-38.9164
2960.0,Accounced,-1.0,-32.1688,-52.0739
38.0,Construction,-1.0,-14.0692,-42.4852
42.0,Construction,-1.0,-14.0692,-42.4852
27.0,Operating,2015.0,-5.2324,-35.8266
27.0,Operating,2015.0,-5.2286,-35.8808
27.0,Operating,2015.0,-5.255,-35.8436
27.0,Operating,2015.0,-5.2622,-35.8145
30.0,Operating,2015.0,-5.472,-35.9162
30.0,Operating,2015.0,-5.4421,-35.9233
16.0,Operating,2015.0,-5.4873,-35.9001
35.0,Operating,2012.0,-12.3512,-42.3385
30.0,Operating,2012.0,-12.3124,-42.3511
30.0,Operating,2012.0,-12.2742,-42.3662
30.0,Operating,2014.0,-2.8853,-39.9839
7000.0,Accounced,-1.0,-11.8221,-41.1879
26.0,Operating,2016.0,-5.4183,-35.9862
26.0,Operating,2016.0,-5.4799,-36.0044
18.0,Operating,2016.0,-5.4643,-35.9355
30.0,Operating,2014.0,-14.1846,-42.495
30.0,Operating,2014.0,-14.1846,-42.495
30.0,Operating,2014.0,-14.2194,-42.507
201.0,Operating,-1.0,-14.4545,-42.3055
24.0,Operating,2015.0,-14.1416,-42.4782
22.0,Operating,2015.0,-14.1147,-42.4748
28.0,Construction,-1.0,-14.1501,-42.494
32.0,Construction,-1.0,-14.0744,-42.5123
42.0,Construction,-1.0,-14.0754,-42.5263
30.0,Operating,2014.0,-2.9158,-39.9544
50.0,Construction,-1.0,-5.8153,-36.1852
50.0,Construction,-1.0,-5.8007,-36.1818
50.0,Construction,-1.0,-5.7964,-36.2275
50.0,Construction,-1.0,-5.7881,-36.2161
45.0,Construction,-1.0,-5.6083,-36.2699
45.0,Construction,-1.0,-5.6207,-36.278
45.0,Construction,-1.0,-5.6339,-36.2827
45.0,Construction,-1.0,-5.6474,-36.2895
45.0,Construction,-1.0,-5.6613,-36.2896
45.0,Construction,-1.0,-5.6626,-36.2976
